Alignment Length: 	 %ID: 
Alignment Length: 207	 %ID: 62.319
Alignment Length: 207	 %ID: 64.734
Alignment Length: 207	 %ID: 64.734
Alignment Length: 207	 %ID: 64.734
Alignment Length: 207	 %ID: 64.734
Alignment Length: 207	 %ID: 64.734
Alignment Length: 207	 %ID: 64.734
Alignment Length: 207	 %ID: 64.734
Alignment Length: 207	 %ID: 63.768
Alignment Length: 207	 %ID: 63.768
Alignment Length: 207	 %ID: 63.768
Alignment Length: 207	 %ID: 64.251
Alignment Length: 207	 %ID: 64.734
Alignment Length: 207	 %ID: 64.734
Alignment Length: 207	 %ID: 64.734
Alignment Length: 207	 %ID: 64.734
Alignment Length: 207	 %ID: 64.251
Alignment Length: 207	 %ID: 64.251
Alignment Length: 207	 %ID: 63.768
Alignment Length: 207	 %ID: 63.285
Alignment Length: 207	 %ID: 64.251
Alignment Length: 207	 %ID: 64.251
Alignment Length: 207	 %ID: 64.251
Alignment Length: 207	 %ID: 64.734
Alignment Length: 207	 %ID: 63.768
Alignment Length: 207	 %ID: 64.251
Alignment Length: 207	 %ID: 64.251
Alignment Length: 207	 %ID: 64.251
Alignment Length: 207	 %ID: 62.802
Alignment Length: 207	 %ID: 63.768
Alignment Length: 207	 %ID: 64.251
Alignment Length: 207	 %ID: 64.251
Alignment Length: 207	 %ID: 63.768
Alignment Length: 207	 %ID: 64.251
Alignment Length: 207	 %ID: 64.251
Alignment Length: 207	 %ID: 64.251
Alignment Length: 207	 %ID: 63.768
Alignment Length: 207	 %ID: 63.768
Alignment Length: 207	 %ID: 63.285
Alignment Length: 207	 %ID: 64.251
Alignment Length: 207	 %ID: 63.285
Alignment Length: 207	 %ID: 63.768
Alignment Length: 207	 %ID: 63.768
Alignment Length: 207	 %ID: 63.768
Alignment Length: 207	 %ID: 64.251
Alignment Length: 207	 %ID: 62.319
Alignment Length: 207	 %ID: 62.319
Alignment Length: 207	 %ID: 63.285
Alignment Length: 207	 %ID: 60.386
Alignment Length: 207	 %ID: 62.802
Alignment Length: 207	 %ID: 61.353
Alignment Length: 225	 %ID: 46.667
Alignment Length: 225	 %ID: 46.667
Alignment Length: 225	 %ID: 46.667
Alignment Length: 222	 %ID: 46.396
Alignment Length: 175	 %ID: 48.000
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 59.890
Alignment Length: 182	 %ID: 59.890
Alignment Length: 182	 %ID: 58.791
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 60.440
Alignment Length: 182	 %ID: 58.242
Alignment Length: 182	 %ID: 58.242
Alignment Length: 182	 %ID: 58.242
Alignment Length: 182	 %ID: 58.242
Alignment Length: 182	 %ID: 58.242
Alignment Length: 182	 %ID: 59.341
Alignment Length: 182	 %ID: 59.341
Alignment Length: 182	 %ID: 59.341
Alignment Length: 182	 %ID: 59.890
Alignment Length: 182	 %ID: 59.890
Alignment Length: 182	 %ID: 59.890
Alignment Length: 182	 %ID: 59.890
Alignment Length: 182	 %ID: 59.890
Alignment Length: 182	 %ID: 59.890
Alignment Length: 182	 %ID: 59.890
Alignment Length: 182	 %ID: 59.890
Alignment Length: 182	 %ID: 59.341
Alignment Length: 182	 %ID: 59.341
Alignment Length: 182	 %ID: 59.341
Alignment Length: 182	 %ID: 59.341
Alignment Length: 182	 %ID: 59.890
Alignment Length: 182	 %ID: 59.890
Alignment Length: 182	 %ID: 59.890
Alignment Length: 182	 %ID: 59.890
Alignment Length: 182	 %ID: 59.890
Alignment Length: 182	 %ID: 59.890
Alignment Length: 182	 %ID: 59.890
Alignment Length: 182	 %ID: 59.890
Alignment Length: 175	 %ID: 47.429
Alignment Length: 182	 %ID: 59.341
Alignment Length: 182	 %ID: 59.341
Alignment Length: 182	 %ID: 59.341
Alignment Length: 182	 %ID: 59.341
Alignment Length: 182	 %ID: 59.341
Alignment Length: 182	 %ID: 59.341
Alignment Length: 182	 %ID: 59.341
Alignment Length: 182	 %ID: 59.341
Alignment Length: 182	 %ID: 59.341
Alignment Length: 182	 %ID: 59.341
Alignment Length: 182	 %ID: 59.341
Alignment Length: 182	 %ID: 58.791
Alignment Length: 182	 %ID: 58.791
Alignment Length: 182	 %ID: 58.791
Alignment Length: 182	 %ID: 58.791
Alignment Length: 182	 %ID: 58.791
Alignment Length: 182	 %ID: 58.791
Alignment Length: 182	 %ID: 59.341
Alignment Length: 177	 %ID: 46.893
Alignment Length: 176	 %ID: 47.159
Alignment Length: 176	 %ID: 47.159
Alignment Length: 183	 %ID: 42.077
Alignment Length: 103	 %ID: 47.573
Alignment Length: 131	 %ID: 67.939
Alignment Length: 131	 %ID: 67.939
Alignment Length: 131	 %ID: 67.939
Alignment Length: 131	 %ID: 67.939
Alignment Length: 131	 %ID: 67.939
Alignment Length: 131	 %ID: 67.939
Alignment Length: 131	 %ID: 67.939
Alignment Length: 131	 %ID: 67.939
Alignment Length: 131	 %ID: 67.939
Alignment Length: 131	 %ID: 67.939
Alignment Length: 131	 %ID: 67.939
Alignment Length: 131	 %ID: 66.412
Alignment Length: 137	 %ID: 64.234
Alignment Length: 142	 %ID: 63.380
Alignment Length: 135	 %ID: 64.444
Alignment Length: 131	 %ID: 65.649
Alignment Length: 131	 %ID: 65.649
Alignment Length: 131	 %ID: 65.649
Alignment Length: 131	 %ID: 65.649
Alignment Length: 131	 %ID: 65.649
Alignment Length: 131	 %ID: 64.885
Alignment Length: 131	 %ID: 64.885
Alignment Length: 131	 %ID: 64.885
Alignment Length: 131	 %ID: 64.885
Alignment Length: 134	 %ID: 61.940
Alignment Length: 131	 %ID: 64.122
Alignment Length: 126	 %ID: 56.349
Alignment Length: 131	 %ID: 64.122
Alignment Length: 138	 %ID: 62.319
Alignment Length: 131	 %ID: 62.595
Alignment Length: 112	 %ID: 55.357
Alignment Length: 122	 %ID: 62.295
Alignment Length: 119	 %ID: 58.824
Alignment Length: 117	 %ID: 56.410
Alignment Length: 117	 %ID: 56.410
Alignment Length: 117	 %ID: 56.410
Alignment Length: 117	 %ID: 56.410
Alignment Length: 117	 %ID: 56.410
Alignment Length: 117	 %ID: 56.410
Alignment Length: 117	 %ID: 56.410
Alignment Length: 117	 %ID: 56.410
Alignment Length: 128	 %ID: 38.281
Alignment Length: 36	 %ID: 47.222
Alignment Length: 128	 %ID: 38.281
Alignment Length: 36	 %ID: 47.222
Alignment Length: 128	 %ID: 38.281
Alignment Length: 36	 %ID: 47.222
Alignment Length: 128	 %ID: 38.281
Alignment Length: 36	 %ID: 47.222
Alignment Length: 128	 %ID: 38.281
Alignment Length: 36	 %ID: 47.222
Alignment Length: 128	 %ID: 38.281
Alignment Length: 36	 %ID: 47.222
Alignment Length: 128	 %ID: 38.281
Alignment Length: 36	 %ID: 47.222
Alignment Length: 128	 %ID: 38.281
Alignment Length: 36	 %ID: 47.222
Alignment Length: 128	 %ID: 38.281
Alignment Length: 36	 %ID: 47.222
Alignment Length: 128	 %ID: 38.281
Alignment Length: 36	 %ID: 47.222
Alignment Length: 128	 %ID: 38.281
Alignment Length: 36	 %ID: 47.222
Alignment Length: 128	 %ID: 38.281
Alignment Length: 36	 %ID: 47.222
Alignment Length: 128	 %ID: 38.281
Alignment Length: 36	 %ID: 47.222
Alignment Length: 128	 %ID: 38.281
Alignment Length: 36	 %ID: 47.222
Alignment Length: 128	 %ID: 38.281
Alignment Length: 36	 %ID: 47.222
Alignment Length: 71	 %ID: 60.563
Alignment Length: 128	 %ID: 38.281
Alignment Length: 36	 %ID: 47.222
Alignment Length: 128	 %ID: 37.500
Alignment Length: 36	 %ID: 47.222
Alignment Length: 128	 %ID: 37.500
Alignment Length: 36	 %ID: 47.222
Alignment Length: 128	 %ID: 37.500
Alignment Length: 36	 %ID: 47.222
Alignment Length: 128	 %ID: 37.500
Alignment Length: 36	 %ID: 47.222
Alignment Length: 128	 %ID: 37.500
Alignment Length: 36	 %ID: 47.222
Alignment Length: 128	 %ID: 37.500
Alignment Length: 36	 %ID: 47.222
Alignment Length: 36	 %ID: 80.556
Alignment Length: 81	 %ID: 65.432
Alignment Length: 51	 %ID: 47.059
Alignment Length: 44	 %ID: 50.000
Alignment Length: 73	 %ID: 41.096
Alignment Length: 86	 %ID: 40.698
Alignment Length: 28	 %ID: 39.286
Alignment Length: 19	 %ID: 57.895
Alignment Length: 	 %ID: 
